"alpha","Nmax","SR_rate"
0.01,"106.","2.573840071008832e-18"
0.01,"131.","2.573937833627677e-18"
0.01,"161.","1.89118675560509e-18"
0.01,"197.","1.250054875281185e-18"
0.01,"243.","7.656056012671173e-19"
0.01,"298.","4.606497411426328e-19"
0.01,"367.","2.705612528020622e-19"
0.01,"451.","1.602822724030661e-19"
0.01,"554.","9.716533359752759e-20"
0.01,"682.","6.133434118276874e-20"
0.01,"838.","4.169035391202653e-20"
0.01,"1030.","3.090557760044488e-20"
0.01,"1267.","2.503952815564468e-20"
0.01,"1558.","2.189860550905962e-20"
0.01,"1915.","2.023089847722609e-20"
0.01,"2355.","1.93495838640217e-20"
0.01,"2895.","1.889063076477452e-20"
0.01,"3559.","1.865364863131889e-20"
0.01,"4376.","1.853280615831857e-20"
0.01,"5380.","1.847217943859242e-20"
0.01,"6615.","1.844225913124641e-20"
0.01,"8133.","1.842780777547908e-20"
0.01,"10000.","1.842099302295611e-20"
0.02,"46.","2.161797438586983e-16"
0.02,"57.","6.268456190385376e-16"
0.02,"70.","5.430144476032047e-16"
0.02,"86.","3.797545696236843e-16"
0.02,"106.","2.408971238198861e-16"
0.02,"131.","1.451829054035508e-16"
0.02,"161.","8.720309933355446e-17"
0.02,"197.","5.326081334070093e-17"
0.02,"243.","3.289045534347412e-17"
0.02,"298.","2.177913146088791e-17"
0.02,"367.","1.550857346432233e-17"
0.02,"451.","1.214267152535801e-17"
0.02,"554.","1.033778431913386e-17"
0.02,"682.","9.372621156710135e-18"
0.02,"838.","8.873689422428923e-18"
0.02,"1030.","8.615939993275891e-18"
0.02,"1267.","8.484754620356599e-18"
0.02,"1558.","8.419584989764695e-18"
0.02,"1915.","8.387842563958876e-18"
0.02,"2355.","8.372678791288869e-18"
0.02,"2895.","8.365670420651482e-18"
0.02,"3559.","8.362529037136534e-18"
0.02,"4376.","8.361175210535265e-18"
0.02,"5380.","8.360619056157026e-18"
0.02,"6615.","8.360402474059762e-18"
0.02,"8133.","8.360323399023298e-18"
0.02,"10000.","8.36029656541401e-18"
0.05,"25.","6.9427714012917e-13"
0.05,"31.","5.085911689868225e-13"
0.05,"38.","3.332044234305307e-13"
0.05,"46.","2.141636338589811e-13"
0.05,"57.","1.29009269848187e-13"
0.05,"70.","8.121713256301017e-14"
0.05,"86.","5.398530624261505e-14"
0.05,"106.","3.878222333474871e-14"
0.05,"131.","3.059201448518102e-14"
0.05,"161.","2.642669651614135e-14"
0.05,"197.","2.430699402495634e-14"
0.05,"243.","2.318820694963254e-14"
0.05,"298.","2.265186134991532e-14"
0.05,"367.","2.238744093244092e-14"
0.05,"451.","2.226531467684106e-14"
0.05,"554.","2.221003721611926e-14"
0.05,"682.","2.218575051252666e-14"
0.05,"838.","2.217577728497241e-14"
0.05,"1030.","2.217183973919411e-14"
0.05,"1267.","2.217037966277372e-14"
0.05,"1558.","2.216987991204033e-14"
0.05,"1915.","2.216972242165155e-14"
0.05,"2355.","2.216967713163855e-14"
0.05,"2895.","2.216966552664739e-14"
0.05,"3559.","2.216966289338843e-14"
0.05,"4376.","2.216966237472617e-14"
0.05,"5380.","2.216966228777338e-14"
0.05,"6615.","2.216966227556929e-14"
0.05,"8133.","2.216966227416907e-14"
0.05,"10000.","2.216966227404053e-14"
0.1,"25.","2.047790411277637e-11"
0.1,"31.","1.290043702695104e-11"
0.1,"38.","9.046826192874373e-12"
0.1,"46.","7.089197267689641e-12"
0.1,"57.","5.94110455790624e-12"
0.1,"70.","5.396311210111959e-12"
0.1,"86.","5.128724613055896e-12"
0.1,"106.","5.000041587016261e-12"
0.1,"131.","4.941035337045018e-12"
0.1,"161.","4.915937677551612e-12"
0.1,"197.","4.905466963378321e-12"
0.1,"243.","4.901074562655903e-12"
0.1,"298.","4.899468458074389e-12"
0.1,"367.","4.898889268360753e-12"
0.1,"451.","4.898704070053479e-12"
0.1,"554.","4.898649223277443e-12"
0.1,"682.","4.898634488612406e-12"
0.1,"838.","4.898631063666843e-12"
0.1,"1030.","4.898630356937374e-12"
0.1,"1267.","4.898630232127774e-12"
0.1,"1558.","4.898630213768554e-12"
0.1,"1915.","4.898630211539218e-12"
0.1,"2355.","4.898630211320083e-12"
0.1,"2895.","4.898630211303295e-12"
0.1,"3559.","4.898630211302308e-12"
0.1,"4376.","4.898630211302265e-12"
0.1,"5380.","4.898630211302264e-12"
0.1,"6615.","4.898630211302264e-12"
0.1,"8133.","4.898630211302264e-12"
0.1,"10000.","4.898630211302264e-12"
