"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.59999999999999997779553950749686919153`16."	"3.77478280370231321652950266143311117388544`30.*^-17"	1.3219592902840295e-17
"0.60260513650100722138347464351681992412`16."	"4.05627661844510906048862437678362983830514`30.*^-17"	1.4081964124347363e-17
"0.6052102730020144649714097795367706567`16."	"4.41029742110957749684164695396428808372355`30.*^-17"	1.4993674561689584e-17
"0.60781540950302170855934491555672138929`16."	"4.74108801772147767739929345466181303145027`30.*^-17"	1.5957100192646372e-17
"0.61042054600402895214728005157667212188`16."	"5.13833116315231329230612857398348236618244`30.*^-17"	1.6974705180170042e-17
"0.61302568250503619573521518759662285447`16."	"5.55640414646340464694174060116584185788011`30.*^-17"	1.8049043738208993e-17
"0.61563081900604355034545278613222762942`16."	"5.98533691229097937985646336341486098265808`30.*^-17"	1.9182761963604684e-17
"0.61823595550705079393338792215217836201`16."	"6.29763756474546420616101558529247887285419`30.*^-17"	2.0378599629271373e-17
"0.6208410920080580375213230581721290946`16."	"6.85225589472781457303140058568667691339891`30.*^-17"	2.163939193371811e-17
"0.62344622850906528110925819419207982719`16."	"7.42198889333465456366803580797650658335854`30.*^-17"	2.2968071201824134e-17
"0.62605136501007252469719333021203055978`16."	"7.9140984963744585474833614934220301362533`30.*^-17"	2.436766853163802e-17
"0.62865650151107976828512846623198129237`16."	"8.47943239387366462430865375028687563289437`30.*^-17"	2.5841315381832922e-17
"0.63126163801208701187306360225193202496`16."	"9.17979300384199811393467903935407219218596`30.*^-17"	2.739224509431867e-17
"0.63386677451309425546099873827188275754`16."	"9.95221403957653855390283928132761911073693`30.*^-17"	2.9023794346385416e-17
"0.63647191101410149904893387429183349013`16."	"1.055269617789604355873563642152099562384223`30.*^-16"	3.073940452663507e-17
"0.63907704751510874263686901031178422272`16."	"1.137819724586380191309456210838479109995605`30.*^-16"	3.254262302884347e-17
"0.64168218401611598622480414633173495531`16."	"1.207897148700324063359593810363841986184634`30.*^-16"	3.4437104457793426e-17
"0.64428732051712334083504174486733973026`16."	"1.30691243541131567099669504274604146372511`30.*^-16"	3.642661174102133e-17
"0.64689245701813058442297688088729046285`16."	"1.383272158117988629930860913274523926614636`29.*^-16"	3.8515017140333105e-17
"0.64949759351913782801091201690724119544`16."	"1.496299397709487071792144097326235991529888`29.*^-16"	4.0706303156868384e-17
"0.65210273002014507159884715292719192803`16."	"1.618468679302170551466960771796872186726309`29.*^-16"	4.3004563323421703e-17
"0.65470786652115231518678228894714266062`16."	"1.706232983771598402859001705003260847875685`29.*^-16"	4.5414002877674e-17
"0.65731300302215955877471742496709339321`16."	"1.850742633535591804833612393508492750158273`29.*^-16"	4.7938939309940314e-17
"0.6599181395231668023626525609870441258`16."	"1.980647429778379233906453479525019938656729`29.*^-16"	5.0583802779004374e-17
"0.66252327602417404595058769700699485838`16."	"2.110238268939046821000592968637169465814733`29.*^-16"	5.3353136389588977e-17
"0.66512841252518128953852283302694559097`16."	"2.265258039584413919460757112547164717629285`29.*^-16"	5.625159632500009e-17
"0.66773354902618853312645796904689632356`16."	"2.415585407500515756576739956526122006351202`29.*^-16"	5.92839518284854e-17
"0.67033868552719577671439310506684705615`16."	"2.568496107032778008352636805371032159124188`29.*^-16"	6.245508502686595e-17
"0.6729438220282031313246307036024518311`16."	"2.7287148712997817081770921839918594729615`29.*^-16"	6.576999059002889e-17
"0.67554895852921037491256583962240256369`16."	"2.906049022289273946819597067879994036010246`29.*^-16"	6.923377521991504e-17
"0.67815409503021761850050097564235329628`16."	"3.120342194703157361809203702596949472981019`29.*^-16"	7.285165696269674e-17
"0.68075923153122486208843611166230402887`16."	"3.354147477652664011672519721209967121250508`29.*^-16"	7.662896433791478e-17
"0.68336436803223210567637124768225476146`16."	"3.593268258980364973719832971238187396973079`29.*^-16"	8.057113527843716e-17
"0.68596950453323934926430638370220549405`16."	"3.831477106357075173663975160418806498866505`29.*^-16"	8.468371587520941e-17
"0.68857464103424659285224151972215622663`16."	"4.063399987803383845496320779807615962057034`29.*^-16"	8.897235892089086e-17
"0.69117977753525383644017665574210695922`16."	"4.357902745677574057122893029270978250894229`29.*^-16"	9.344282224661278e-17
"0.69378491403626108002811179176205769181`16."	"4.650064694856105252520225570803117818426072`29.*^-16"	9.810096684625322e-17
"0.69639005053726843463834939029766246676`16."	"4.904628680630028447138357494603668681942838`29.*^-16"	1.0295275478279834e-16
"0.69899518703827556720398206380195915699`16."	"5.255004205484944555520167670546912266251796`29.*^-16"	1.0800424687155431e-16
"0.70160032353928292181421966233756393194`16."	"5.600733156919904458698202252136619054855329`29.*^-16"	1.1326160013519037e-16
"0.70420546004029016540215479835751466453`16."	"5.937225967234720377837781636895233925569681`29.*^-16"	1.187310650258094e-16
"0.70681059654129740899008993437746539712`16."	"6.334226788706536595584032100681153161930573`29.*^-16"	1.2441898240951033e-16
"0.70941573304230465257802507039741612971`16."	"6.748934488985023097476595501549734688011897`29.*^-16"	1.3033178030915307e-16
"0.7120208695433118961659602064173668623`16."	"7.173924183525215083661970525538018418009753`29.*^-16"	1.364759704013348e-16
"0.71462600604431913975389534243731759489`16."	"7.620779801660276820475985478342300328918654`29.*^-16"	1.4285814426388158e-16
"0.71723114254532638334183047845726832747`16."	"8.104791021498911150310678989858529102746989`29.*^-16"	1.494849693704806e-16
"0.71983627904633362692976561447721906006`16."	"8.617080215753513800731716195684625420458423`28.*^-16"	1.5636318482942104e-16
"0.72244141554734087051770075049716979265`16."	"9.152043867711292294189289407310052735549206`28.*^-16"	1.6349959686376306e-16
"0.7250465520483482251279383490327745676`16."	"9.753138752827245197467386735843798168347227`28.*^-16"	1.709010740306295e-16
"0.72765168854935535769357102253707125783`16."	"1.0333475471303801285301890829694483713114073`28.*^-15"	1.785745421777089e-16
"0.73025682505036271230380862107267603278`16."	"1.0984607522881311672568319917900210498628621`28.*^-15"	1.8652697913546694e-16
"0.73286196155136995589174375709262676537`16."	"1.1685126796874669047392717978328872315335953`28.*^-15"	1.9476540914398038e-16
"0.73546709805237719947967889311257749796`16."	"1.2422155197094519047101114249674500050815126`28.*^-15"	2.0329689701376622e-16
"0.73807223455338444306761402913252823055`16."	"1.3175385907884370387620940700900096487116062`28.*^-15"	2.1212854202041736e-16
"0.74067737105439168665554916515247896314`16."	"1.393839607302007691213851050207996812680149`28.*^-15"	2.2126747153334228e-16
"0.74328250755539893024348430117242969573`16."	"1.4858604325842404827784185746774722022098098`28.*^-15"	2.307208343793893e-16
"0.74588764405640617383141943719238042831`16."	"1.5712647100989717679646469241436857879578334`28.*^-15"	2.4049579394263626e-16
"0.74849278055741352844165703572798520327`16."	"1.6652532490170345573234435427956085899100896`28.*^-15"	2.5059952100214745e-16
"0.75109791705842066100728970923228189349`16."	"1.7639249901248273489282425872820394532533422`28.*^-15"	2.6103918631001747e-16
"0.75370305355942801561752730776788666844`16."	"1.8708250213575258943676410755596236607951524`28.*^-15"	2.7182195291258016e-16
"0.75630819006043525920546244378783740103`16."	"1.9828931047807575645804314247410122458315725`28.*^-15"	2.8295496821818403e-16
"0.75891332656144250279339757980778813362`16."	"2.1028874643574750824225087670300140713098387`28.*^-15"	2.9444535581553217e-16
"0.76151846306244974638133271582773886621`16."	"2.2242784241909616992452799373986566008874501`28.*^-15"	3.063002070471229e-16
"0.7641235995634569899692678518476895988`16."	"2.3557211204163507118870584876389024981774026`28.*^-15"	3.185265723429277e-16
"0.76672873606446423355720298786764033139`16."	"2.4903152594174187579713519259770774683529239`28.*^-15"	3.311314523200231e-16
"0.76933387256547147714513812388759106398`16."	"2.6354794954964563062822957533063737602531041`28.*^-15"	3.4412178865448347e-16
"0.77193900906647872073307325990754179657`16."	"2.7868790395561543311592141447673282107386529`28.*^-15"	3.5750445473244774e-16
"0.77454414556748596432100839592749252915`16."	"2.9489132997755568446577105475108181025822851`28.*^-15"	3.7128624608786054e-16
"0.77714928206849320790894353194744326174`16."	"3.1198506778741186574416128058544749951739057`28.*^-15"	3.8547387063501234e-16
"0.77975441856950045149687866796739399433`16."	"3.2988568485784523355408629944451297241757335`28.*^-15"	4.000739387045952e-16
"0.78235955507050780610711626650299876928`16."	"3.489520372512612261247869299138046526185665`28.*^-15"	4.1509295289259942e-16
"0.78496469157151504969505140252294950187`16."	"3.6868201878845229772873659975903467589296462`28.*^-15"	4.305372977319855e-16
"0.78756982807252229328298653854290023446`16."	"3.8920377813171888172776836235188911180081929`28.*^-15"	4.464132291976714e-16
"0.79017496457352953687092167456285096705`16."	"4.111396549824765911652681613304702982235958`28.*^-15"	4.627268640559593e-16
"0.79278010107453678045885681058280169964`16."	"4.3479311500167780226327206124613186348546349`28.*^-15"	4.794841690701402e-16
"0.79538523757554402404679194660275243223`16."	"4.5889025829882435026325489273835584948523455`28.*^-15"	4.966909500745846e-16
"0.79799037407655126763472708262270316482`16."	"4.843018041663979588221375668727673895976717`28.*^-15"	5.143528409302159e-16
"0.8005955105775585112226622186426538974`16."	"5.1108998532153711182621335488294182766866494`28.*^-15"	5.324752923748287e-16
"0.80320064707856575481059735466260462999`16."	"5.3923625126130208018775847735582752447773599`27.*^-15"	5.510635607822681e-16
"0.80580578357957299839853249068255536258`16."	"5.6895179508816411369839068447263556194445469`27.*^-15"	5.701226968450447e-16
"0.80841092008058024198646762670250609517`16."	"6.0042463155375329859781299016086361688846971`27.*^-15"	5.896575341954665e-16
"0.81101605658158759659670522523811087012`16."	"6.3361759924333090068165605746572570008739453`27.*^-15"	6.096726779809134e-16
"0.81362119308259472916233789874240756035`16."	"6.6714860789652036047889894293158182190094709`27.*^-15"	6.30172493409347e-16
"0.8162263295836020837725754972780123353`16."	"7.0401662649143889234981808955420974238304933`27.*^-15"	6.511610942816634e-16
"0.81883146608460932736051063329796306789`16."	"7.4193842837910815272298227985510467124594985`27.*^-15"	6.726423315279027e-16
"0.82143660258561657094844576931791380048`16."	"7.8184502222138006789695057349834276738589075`27.*^-15"	6.946197817648293e-16
"0.82404173908662381453638090533786453307`16."	"8.2386905162837951411904037537100491874190121`27.*^-15"	7.170967358927554e-16
"0.82664687558763105812431604135781526566`16."	"8.678878736314788162084415800167830690804241`27.*^-15"	7.400761877498934e-16
"0.82925201208863841273455363989342004061`16."	"9.1479540086513994786620231344980994781413222`27.*^-15"	7.635608228428933e-16
"0.83185714858964554530018631339771673083`16."	"9.6234908333178710322267373341725419929502299`27.*^-15"	7.875530071725077e-16
"0.83446228509065289991042391193332150578`16."	"1.01312825547755328331198794054957321885857139`27.*^-14"	8.120547761737335e-16
"0.83706742159166014349835904795327223837`16."	"1.06670825998746467294388609314229862118266542`27.*^-14"	8.370678237898853e-16
"0.83967255809266738708629418397322297096`16."	"1.12217854035452163539452466376796215657533494`27.*^-14"	8.625934917005132e-16
"0.84227769459367463067422931999317370355`16."	"1.18091229671675434687015068457805102015551189`27.*^-14"	8.886327587230696e-16
"0.84488283109468187426216445601312443614`16."	"1.24243502877158599725223671709929811002394531`27.*^-14"	9.151862304085746e-16
