"""alpha"""	"""CF_Gamma"""	"""Hydro_Gamma"""
"ScientificForm[0.15, 10]"	"ScientificForm[1.8337056713829736998492497499`16.*^-10, 10]"	"ScientificForm[2.2826263812930134*^-10, 10]"
"ScientificForm[0.15636363636363637, 10]"	"ScientificForm[2.5249433035622541448321228427`16.*^-10, 10]"	"ScientificForm[3.106724891923054*^-10, 10]"
"ScientificForm[0.16272727272727272, 10]"	"ScientificForm[3.4211208829708781504558493647`16.*^-10, 10]"	"ScientificForm[4.1598826017574045*^-10, 10]"
"ScientificForm[0.1690909090909091, 10]"	"ScientificForm[4.5885769291328216170199188931`16.*^-10, 10]"	"ScientificForm[5.485817746064504*^-10, 10]"
"ScientificForm[0.17545454545454545, 10]"	"ScientificForm[2.5713662904526795589653199335`16.*^-10, 10]"	"ScientificForm[7.131792720499784*^-10, 10]"
"ScientificForm[0.18181818181818182, 10]"	"ScientificForm[7.9323940354566439342901584269`16.*^-10, 10]"	"ScientificForm[9.147852169650078*^-10, 10]"
"ScientificForm[0.18818181818181817, 10]"	"ScientificForm[1.02131129368798045884047677684`16.*^-9, 10]"	"ScientificForm[1.1585802329348458*^-9, 10]"
"ScientificForm[0.19454545454545455, 10]"	"ScientificForm[1.30958917589564120948804361309`16.*^-9, 10]"	"ScientificForm[1.4497923208012386*^-9, 10]"
"ScientificForm[0.20090909090909093, 10]"	"ScientificForm[1.47725557655773543762251904515`16.*^-9, 10]"	"ScientificForm[1.7935414261458197*^-9, 10]"
"ScientificForm[0.20727272727272728, 10]"	"ScientificForm[2.09058668383425579781570105686`16.*^-9, 10]"	"ScientificForm[2.194658471951439*^-9, 10]"
"ScientificForm[0.21363636363636362, 10]"	"ScientificForm[2.6059620626293471367569630486`16.*^-9, 10]"	"ScientificForm[2.6574811517830736*^-9, 10]"
"ScientificForm[0.22, 10]"	"ScientificForm[3.03589566989877531334853862979`16.*^-9, 10]"	"ScientificForm[3.1856300671770547*^-9, 10]"
"ScientificForm[0.22636363636363638, 10]"	"ScientificForm[3.8830354020793303031550654419`16.*^-9, 10]"	"ScientificForm[3.781770163467059*^-9, 10]"
"ScientificForm[0.23272727272727273, 10]"	"ScientificForm[1.73801542746024983544755374972`16.*^-9, 10]"	"ScientificForm[4.447363837555849*^-9, 10]"
"ScientificForm[0.23909090909090908, 10]"	"ScientificForm[5.82589461922331761920422259195`16.*^-9, 10]"	"ScientificForm[5.182423518494071*^-9, 10]"
"ScientificForm[0.24545454545454545, 10]"	"ScientificForm[6.99009702338222938448988032279`16.*^-9, 10]"	"ScientificForm[5.9852729088574*^-9, 10]"
"ScientificForm[0.25181818181818183, 10]"	"ScientificForm[8.3802531414885452784945988556`16.*^-9, 10]"	"ScientificForm[6.852327365505098*^-9, 10]"
"ScientificForm[0.2581818181818182, 10]"	"ScientificForm[9.9559796674096623126839207951`16.*^-9, 10]"	"ScientificForm[7.777905027633048*^-9, 10]"
"ScientificForm[0.26454545454545453, 10]"	"ScientificForm[1.17615616788162478488204960206`16.*^-8, 10]"	"ScientificForm[8.7540811946016*^-9, 10]"
"ScientificForm[0.27090909090909093, 10]"	"ScientificForm[1.381919522673196753730012533773`16.*^-8, 10]"	"ScientificForm[9.770599033182092*^-9, 10]"
"ScientificForm[0.2772727272727273, 10]"	"ScientificForm[1.615295640184575914492516490207`16.*^-8, 10]"	"ScientificForm[1.0814849861501245*^-8, 10]"
"ScientificForm[0.2836363636363637, 10]"	"ScientificForm[1.876951791272646392195393691332`16.*^-8, 10]"	"ScientificForm[1.1871935913125432*^-8, 10]"
"ScientificForm[0.29000000000000004, 10]"	"ScientificForm[2.174293816124644882734094650978`16.*^-8, 10]"	"ScientificForm[1.2924827517337914*^-8, 10]"
