"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.01000000000000000020816681711721685133`16."	"""Failed"""	1.3886093151768428e-52
"0.01665551839464882963890873411682482172`16."	"""Failed"""	6.03005533046349e-48
"0.02331103678929765906965065111643279212`16."	"""Failed"""	6.781976669948858e-45
"0.02996655518394648850039256811604076252`16."	"""Failed"""	1.2789143241908259e-42
"0.03662207357859531793113448511564873292`16."	"""Failed"""	8.33521989348109e-41
"0.04327759197324414736187640211525670331`16."	"""Failed"""	2.6830529755583917e-39
"0.04993311036789297679261831911486467371`16."	"""Failed"""	5.223906876329624e-38
"0.05658862876254180622336023611447264411`16."	"""Failed"""	6.979393793926598e-37
"0.06324414715719063565410215311408061451`16."	"""Failed"""	6.958941989588878e-36
"0.0698996655518394650848440701136885849`16."	"""Failed"""	5.490903811478287e-35
"0.0765551839464882945155859871132965553`16."	"""Failed"""	3.5778613361597946e-34
"0.0832107023411371239463279041129045257`16."	"""Failed"""	1.9876899077545745e-33
"0.08986622073578595337706982111251249609`16."	"""Failed"""	9.648926127037563e-33
"0.09652173913043478280781173811212046649`16."	"""Failed"""	4.172400530816834e-32
"0.10317725752508361223855365511172843688`16."	"""Failed"""	1.632165593929704e-31
"0.10983277591973244166929557211133640728`16."	"""Failed"""	5.848591274768028e-31
"0.11648829431438127110003748911094437768`16."	"""Failed"""	1.939652867226709e-30
"0.12314381270903010053077940611055234808`16."	"""Failed"""	6.004990602027737e-30
"0.12979933110367892996152132311016031847`16."	"""Failed"""	1.7480610278075365e-29
"0.13645484949832775939226324010976828887`16."	"""Failed"""	4.814216815495336e-29
"0.14311036789297658882300515710937625927`16."	"""Failed"""	1.2609757755459963e-28
"0.14976588628762541825374707410898422967`16."	"""Failed"""	3.1555492366641573e-28
"0.15642140468227424768448899110859220006`16."	"""Failed"""	7.57438776355313e-28
"0.16307692307692307711523090810820017046`16."	"""Failed"""	1.7499549287401222e-27
"0.16973244147157190654597282510780814086`16."	"""Failed"""	3.9033266977172814e-27
"0.17638795986622073597671474210741611125`16."	"""Failed"""	8.428318481691278e-27
"0.18304347826086956540745665910702408165`16."	"""Failed"""	1.7659736458730262e-26
"0.18969899665551839483819857610663205204`16."	"""Failed"""	3.598259950453787e-26
"0.19635451505016722426894049310624002244`16."	"""Failed"""	7.143278867627058e-26
"0.20301003344481605369968241010584799284`16."	"""Failed"""	1.38403758106591e-25
"0.20966555183946488313042432710545596324`16."	"""Failed"""	2.6213155773804412e-25
"0.21632107023411371256116624410506393363`16."	"""Failed"""	4.859866876521209e-25
"0.22297658862876254199190816110467190403`16."	"""Failed"""	8.831201866160873e-25
"0.22963210702341137142265007810427987443`16."	"""Failed"""	1.5747556134257677e-24
"0.23628762541806020085339199510388784482`16."	"""Failed"""	2.758470851135879e-24
"0.24294314381270903028413391210349581522`16."	"""Failed"""	4.751281371997948e-24
"0.24959866220735785971487582910310378562`16."	"""Failed"""	8.054357659607553e-24
"0.25625418060200668914561774610271175601`16."	"""Failed"""	1.3448958887030977e-23
"0.26290969899665551857635966310231972641`16."	"""Failed"""	2.2136862246868112e-23
"0.26956521739130434800710158010192769681`16."	"""Failed"""	3.594348501477206e-23
"0.2762207357859531774378434971015356672`16."	"""Failed"""	5.760836920022909e-23
"0.2828762541806020068685854141011436376`16."	"""Failed"""	9.11961334849215e-23
"0.289531772575250836299327331100751608`16."	"""Failed"""	1.426718841544463e-22
"0.2961872909698996657300692481003595784`16."	"""Failed"""	2.206990004640565e-22
"0.30284280936454849516081116509996754879`16."	"""Failed"""	3.377348611758629e-22
"0.30949832775919732459155308209957551919`16."	"""Failed"""	5.115222668740999e-22
"0.31615384615384615402229499909918348959`16."	"""Failed"""	7.671019760466087e-22
"0.32280936454849498345303691609879145998`16."	"""Failed"""	1.139505991906143e-21
"0.32946488294314381288377883309839943038`16."	"""Failed"""	1.6773332430252923e-21
"0.33612040133779264231452075009800740078`16."	"""Failed"""	2.447460485832666e-21
"0.34277591973244147174526266709761537117`16."	"""Failed"""	3.541203179720161e-21
"0.34943143812709030117600458409722334157`16."	"""Failed"""	5.082315476163352e-21
"0.35608695652173913060674650109683131197`16."	"""Failed"""	7.237307224501931e-21
"0.36274247491638796003748841809643928236`16."	"""Failed"""	1.0228661101082739e-20
"0.36939799331103678946823033509604725276`16."	"""Failed"""	1.43516568496788e-20
"0.37605351170568561889897225209565522316`16."	"""Failed"""	1.9995654563156408e-20
"0.38270903010033444832971416909526319355`16."	"""Failed"""	2.767085745348301e-20
"0.38936454849498327776045608609487116395`16."	"""Failed"""	3.804176926850684e-20
"0.39602006688963210719119800309447913435`16."	"""Failed"""	5.196878511059497e-20
"0.40267558528428093662193992009408710475`16."	"""Failed"""	7.055960961620098e-20
"0.40933110367892976605268183709369507514`16."	"""Failed"""	9.523248597008797e-20
"0.41598662207357859548342375409330304554`16."	"""Failed"""	1.2779354567935963e-19
"0.42264214046822742491416567109291101594`16."	"""Failed"""	1.7053095490165567e-19
"0.42929765886287625434490758809251898633`16."	"""Failed"""	2.2632894066751292e-19
"0.43595317725752508377564950509212695673`16."	"""Failed"""	2.9880523150859053e-19
"0.44260869565217391320639142209173492713`16."	"""Failed"""	3.9247594334601193e-19
"0.44926421404682274263713333909134289752`16."	"""Failed"""	5.129524840419386e-19
"0.45591973244147157206787525609095086792`16."	"""Failed"""	6.671756391862298e-19
"0.46257525083612040149861717309055883832`16."	"""Failed"""	8.636926371509288e-19
"0.46923076923076923092935909009016680871`16."	"""Failed"""	1.1129836720038434e-18
"0.47588628762541806036010100708977477911`16."	"""Failed"""	1.4278450863380838e-18
"0.48254180602006688979084292408938274951`16."	"""Failed"""	1.823837179128131e-18
"0.48919732441471571922158484108899071991`16."	"""Failed"""	2.319805401785815e-18
"0.4958528428093645486523267580885986903`16."	"""Failed"""	2.9384845326916517e-18
"0.5025083612040133780830686750882066607`16."	"""Failed"""	3.707196269133185e-18
"0.5091638795986622075138105920878146311`16."	"""Failed"""	4.658651536673972e-18
"0.51581939799331103694455250908742260149`16."	"""Failed"""	5.831869678647225e-18
"0.52247491638795986637529442608703057189`16."	"""Failed"""	7.27322754002842e-18
"0.52913043478260869580603634308663854229`16."	"""Failed"""	9.037652285798725e-18
"0.53578595317725752523677826008624651268`16."	"""Failed"""	1.1189972577516964e-17
"0.54244147157190635466752017708585448308`16."	"""Failed"""	1.3806443454641765e-17
"0.54909698996655518409826209408546245348`16."	"""Failed"""	1.6976460908678403e-17
"0.55575250836120401352900401108507042387`16."	"""Failed"""	2.080448267601933e-17
"0.56240802675585284295974592808467839427`16."	"""Failed"""	2.5412172185087783e-17
"0.56906354515050167239048784508428636467`16."	"""Failed"""	3.094078284901535e-17
"0.57571906354515050182122976208389433507`16."	"""Failed"""	3.755379996893471e-17
"0.58237458193979933125197167908350230546`16."	"""Failed"""	4.543985737600424e-17
"0.58903010033444816068271359608311027586`16."	"3.38472044608413662545162573021498344488186`25.*^-17"	5.481594556233884e-17
"0.59568561872909699011345551308271824626`16."	"5.00580284171672163964069786567524990471199`25.*^-17"	6.593092740111033e-17
"0.60234113712374581954419743008232621665`16."	"5.82450454436143521532106448513187665376813`25.*^-17"	7.906937660275487e-17
"0.60899665551839464897493934708193418705`16."	"7.52545385541402208449056301787041352239017`25.*^-17"	9.455575276598456e-17
"0.61565217391304347840568126408154215745`16."	"8.11439216257652167079851811072223220596905`25.*^-17"	1.1275892522807335e-16
"0.62230769230769230783642318108115012784`16."	"1.064513957611983332166783071445554119421348`25.*^-16"	1.3409705586852554e-16
"0.62896321070234113726716509808075809824`16."	"1.340995361873023123902558331729328815974098`25.*^-16"	1.590428485451137e-16
"0.63561872909698996669790701508036606864`16."	"1.572597353979497738714759060357784295741768`25.*^-16"	1.881291699148584e-16
"0.64227424749163879612864893207997403903`16."	"1.961507741858388759956726493909220040897077`25.*^-16"	2.2195504299109832e-16
"0.64892976588628762555939084907958200943`16."	"2.323773928597556589066754514343101777650656`24.*^-16"	2.6119201089106853e-16
"0.65558528428093645499013276607918997983`16."	"2.53706284398662232785421332949621398384788`24.*^-16"	3.065908638203179e-16
"0.66224080267558528442087468307879795023`16."	"3.122919898717735181146475193802910802998744`24.*^-16"	3.5898871740971164e-16
"0.66889632107023411385161660007840592062`16."	"3.663678596316142447138316299104199974108355`24.*^-16"	4.1931642506225047e-16
"0.67555183946488294328235851707801389102`16."	"4.394722850429700719918699209934757852135081`24.*^-16"	4.886063009815617e-16
"0.68220735785953177271310043407762186142`16."	"5.151146620986236474404746287452294502984184`24.*^-16"	5.680001240499269e-16
"0.68886287625418060214384235107722983181`16."	"6.20678225276508861241471961670992732692576`24.*^-16"	6.587573857173938e-16
"0.69551839464882943157458426807683780221`16."	"7.3097473930604149460144690996996937147194`24.*^-16"	7.622637375797384e-16
"0.70217391304347826100532618507644577261`16."	"8.678025722328747147397594375634613844679489`24.*^-16"	8.800395863961503e-16
"0.708829431438127090436068102076053743`16."	"1.0104095838221618875052927993290139515287315`24.*^-15"	1.0137487759716039e-15
"0.7154849498327759198668100190756617134`16."	"1.1897972252963890358009167012019200322368565`24.*^-15"	1.1652072866586928e-15
"0.7221404682274247492975519360752696838`16."	"1.3798360656677486647920248378128253782016443`23.*^-15"	1.3363918742848052e-15
"0.72879598662207357872829385307487765419`16."	"1.6097698535183345600373039897440071941619037`23.*^-15"	1.5294485611594795e-15
"0.73545150501672240815903577007448562459`16."	"1.8761409641206343398088493772747164010129776`23.*^-15"	1.7467008825521131e-15
"0.74210702341137123758977768707409359499`16."	"2.191086784027745917547612171777555253386117`23.*^-15"	1.9906577827511677e-15
"0.74876254180602006702051960407370156538`16."	"2.5590790079756490374788330503508402828812795`23.*^-15"	2.264021045633826e-15
"0.75541806020066889645126152107330953578`16."	"2.9627239048434060433519680716289315165215272`23.*^-15"	2.5696921357117598e-15
"0.76207357859531772588200343807291750618`16."	"3.4290561643765726543821533204337705206883125`23.*^-15"	2.9107783170069673e-15
"0.76872909698996655531274535507252547658`16."	"3.9696303462231891305356473650886710445475137`23.*^-15"	3.290597908994107e-15
"0.77538461538461538474348727207213344697`16."	"4.5911898701285786398198360625595042524318916`23.*^-15"	3.712684531374673e-15
"0.78204013377926421417422918907174141737`16."	"5.2871421222245934781434310541743422709330775`23.*^-15"	4.180790182782822e-15
"0.78869565217391304360497110607134938777`16."	"6.0836724801971305231008651898927580661596723`23.*^-15"	4.6988869928304896e-15
"0.79535117056856187303571302307095735816`16."	"6.9992965318289519023059084361536344253463093`23.*^-15"	5.271167482351192e-15
"0.80200668896321070246645494007056532856`16."	"8.0679847039087556849386397661991812469357062`23.*^-15"	5.902043163474231e-15
"0.80866220735785953189719685707017329896`16."	"9.2367028055703771014125352988380973135956329`22.*^-15"	6.596141309430359e-15
"0.81531772575250836132793877406978126935`16."	"1.05982962797261723778560313043162649695621959`22.*^-14"	7.358299723932405e-15
"0.82197324414715719075868069106938923975`16."	"1.21113822476194273102067657392895916338816647`22.*^-14"	8.193559341763976e-15
"0.82862876254180602018942260806899721015`16."	"1.38758353717586471111163605966032376559627036`22.*^-14"	9.10715449601322e-15
"0.83528428093645484962016452506860518054`16."	"1.58468857752692194973745603967023075553620594`22.*^-14"	1.0104500693366811e-14
"0.84193979933110367905090644206821315094`16."	"1.80676129690643839505532502419684535028237649`22.*^-14"	1.1191179747179022e-14
"0.84859531772575250848164835906782112134`16."	"2.05394275923993421824076612220421878658568193`22.*^-14"	1.2372922128787623e-14
"0.85525083612040133791239027606742909174`16."	"2.33905729688307343197588686147409659788464673`22.*^-14"	1.3655586410876939e-14
"0.86190635451505016734313219306703706213`16."	"2.65688213133529014938647481390131604869591609`22.*^-14"	1.5045135692685263e-14
"0.86856187290969899677387411006664503253`16."	"3.01556091689464172809927648153752991532432739`22.*^-14"	1.654761091559338e-14
"0.87521739130434782620461602706625300292`16."	"3.41726313959735845571144099638772767728293515`22.*^-14"	1.8169100999153534e-14
"0.88187290969899665563535794406586097332`16."	"3.86921534841086700586984768820807992001644843`22.*^-14"	1.991570975194439e-14
"0.88852842809364548506609986106546894372`16."	"4.37831772541832048187994579427587378292861603`22.*^-14"	2.179351953874475e-14
"0.89518394648829431449684177806507691411`16."	"4.9485839979418893482001699214348866378345239`22.*^-14"	2.3808551715356232e-14
"0.90183946488294314392758369506468488451`16."	"5.58223540672456810769661076260748221168540487`21.*^-14"	2.5966723874878105e-14
"0.90849498327759197335832561206429285491`16."	"6.29441551892875620453718057910358715480061281`21.*^-14"	2.8273803984213018e-14
"0.91515050167224080278906752906390082531`16."	"7.08751663968082027235382959900272884351359914`21.*^-14"	3.0735361526886345e-14
"0.9218060200668896322198094460635087957`16."	"7.9786013338105610513559216495657268049027173`21.*^-14"	3.3356715807667975e-14
"0.9284615384615384616505513630631167661`16."	"8.96648525873446887202429848103474799081386281`21.*^-14"	3.6142881615734105e-14
"0.9351170568561872910812932800627247365`16."	"1.006588253920675475669734418683569355118388389`21.*^-13"	3.9098512485877956e-14
"0.9417725752508361205120351970623327069`16."	"1.129112601648304245104163021021662624056758633`21.*^-13"	4.222784184121926e-14
"0.94842809364548494994277711406194067729`16."	"1.265173045411385628671443714688729864395108403`21.*^-13"	4.553462234556375e-14
"0.95508361204013377937351903106154864769`16."	"1.416727290918344590868820371299540950013742499`21.*^-13"	4.902206383857461e-14
"0.96173913043478260880426094806115661808`16."	"1.584468914375767658295877155929624918907623004`21.*^-13"	5.2692770271755136e-14
"0.96839464882943143823500286506076458848`16."	"1.770651432441230204553982353499612100200095194`21.*^-13"	5.654867610735607e-14
"0.97505016722408026766574478206037255888`16."	"1.977328688636402863442127769262693667862889738`21.*^-13"	6.059098268516279e-14
"0.98170568561872909709648669905998052927`16."	"2.205583215054612322993126728538010621291021163`21.*^-13"	6.482009510306586e-14
"0.98836120401337792652722861605958849967`16."	"2.457734044527442546947561309053102754505962226`21.*^-13"	6.923556019576701e-14
"0.99501672240802675595797053305919647007`16."	"2.736489335333875397597550274891868646670393216`21.*^-13"	7.38360062312403e-14
"1.00167224080267558538871245005880444047`16."	"3.04450602762586309281043881565934607684502459`21.*^-13"	7.861908497602571e-14
"1.00832775919732441481945436705841241086`16."	"3.346668977069527938123566973974173048666940925`21.*^-13"	8.358141680737815e-14
"1.01498327759197324425019628405802038126`16."	"3.758533119198328233521315207037443261010135244`21.*^-13"	8.871853957206425e-14
"1.02163879598662207368093820105762835166`16."	"4.170765431375800647450019420611639013369300854`21.*^-13"	9.402486190754994e-14
"1.02829431438127090311168011805723632206`16."	"4.625030152024405470572964224860547183675387933`21.*^-13"	9.949362175076744e-14
"1.03494983277591973254242203505684429245`16."	"5.123925592896542622583336113304414946596951424`21.*^-13"	1.0511685076202512e-13
"1.04160535117056856197316395205645226285`16."	"5.672498254923578071244539363707093761363891531`21.*^-13"	1.1088534538631241e-13
"1.04826086956521739140390586905606023324`16."	"6.274648391153555287119932623992961067956121137`21.*^-13"	1.1678864526075552e-13
"1.05491638795986622083464778605566820364`16."	"6.934932458086849273451328833231479604218307844`21.*^-13"	1.228150196548158e-13
"1.06157190635451505026538970305527617404`16."	"7.659103415454680364022204982882739579457866812`21.*^-13"	1.2895146259861403e-13
"1.06822742474916387969613162005488414443`16."	"8.451950717699989352572009498339450929390333903`21.*^-13"	1.3518369731418772e-13
"1.07488294314381270912687353705449211483`16."	"9.320482580394509243786765403013922527959187246`21.*^-13"	1.4149619051434642e-13
"1.08153846153846153855761545405410008523`16."	"1.0270914051144234236558823941090078529231772628`21.*^-12"	1.4787217707395174e-13
"1.08819397993311036798835737105370805563`16."	"1.1309346374527820315807564725259044979032484855`21.*^-12"	1.5429369550893644e-13
"1.09484949832775919741909928805331602602`16."	"1.2443792621563276865114967157259669432606268297`21.*^-12"	1.607416346192983e-13
"1.10150501672240802684984120505292399642`16."	"1.3681979769756361700119126802800251464272193555`21.*^-12"	1.6719579156394625e-13
"1.10816053511705685628058312205253196682`16."	"1.503368257472291534535662384507286440890124163`21.*^-12"	1.7363494153799021e-13
"1.11481605351170568571132503905213993721`16."	"1.6506523281411925071680153792880372083857727628`21.*^-12"	1.800369191174355e-13
"1.12147157190635451514206695605174790761`16."	"1.8111683552811854072766597960429308749675885603`22.*^-12"	1.8637871122292648e-13
"1.12812709030100334457280887305135587801`16."	"1.985826933897742059342538644100791532511005151`22.*^-12"	1.9263656153401724e-13
"1.1347826086956521740035507900509638484`16."	"2.175977111188730451032118404297964788753751333`22.*^-12"	1.9878608605943964e-13
"1.1414381270903010034342927070505718188`16."	"2.3826462494979673090825186996553377553673904637`22.*^-12"	2.0480239943808334e-13
"1.1480936454849498328650346240501797892`16."	"2.6072579940089274368500855280103114344976023111`22.*^-12"	2.106602514112019e-13
"1.15474916387959866229577654104978775959`16."	"2.8511566186588640057349940235784171021733352676`22.*^-12"	2.1633417277013383e-13
"1.16140468227424749172651845804939572999`16."	"3.1158702795551923691992838640960249887940726713`22.*^-12"	2.2179862994705123e-13
"1.16806020066889632115726037504900370039`16."	"3.4030169046864422099891408938706797667256659107`22.*^-12"	2.2702818728069107e-13
"1.17471571906354515058800229204861167079`16."	"3.7142628913636156868977033853177488765026730342`22.*^-12"	2.31997675856304e-13
"1.18137123745819398001874420904821964118`16."	"4.0513427360245172639157659795131897612373326244`22.*^-12"	2.366823676911242e-13
"1.18802675585284280944948612604782761158`16."	"4.4163619436813375301786177369829728307775188149`22.*^-12"	2.4105815391534743e-13
"1.19468227424749163888022804304743558198`16."	"4.811413718123642727365640185975388919065996043`22.*^-12"	2.451017254859092e-13
"1.20133779264214046831096996004704355237`16."	"5.2383935873785848783037345891987980731692120877`22.*^-12"	2.487907548681715e-13
"1.20799331103678929774171187704665152277`16."	"5.7000198680051504970512790895005055559400555114`22.*^-12"	2.521040770309882e-13
"1.21464882943143812717245379404625949317`16."	"6.1986343035812121456121047696286631457056711646`22.*^-12"	2.5502186802535427e-13
"1.22130434782608695660319571104586746356`16."	"6.7368789901889612887856559606915588288770231944`22.*^-12"	2.5752581935789033e-13
"1.22795986622073578603393762804547543396`16."	"7.3175511506525580194864914171388897897797256303`22.*^-12"	2.5959930632942047e-13
"1.23461538461538461546467954504508340436`16."	"7.9437872214192062117130135721852998278117039008`22.*^-12"	2.6122754848755234e-13
"1.24127090301003344489542146204469137475`16."	"8.6186193330667469795391077213502123613505935323`22.*^-12"	2.6239776034186094e-13
"1.24792642140468227432616337904429934515`16."	"9.3456308223765705249718194975764509490557980678`23.*^-12"	2.6309929051229604e-13
"1.25458193979933110375690529604390731555`16."	"1.0128134450584755333933076919356835321494112816`23.*^-11"	2.633237475267158e-13
"1.26123745819397993318764721304351528595`16."	"1.0970264274902129211104925373397846984107709313`23.*^-11"	2.630651105528281e-13
"1.26789297658862876261838913004312325634`16."	"1.18757973147103044076079685591363664250858431165`23.*^-11"	2.6231982344365684e-13
"1.27454849498327759204913104704273122674`16."	"1.28490876610263366962457836601560092367569639293`23.*^-11"	2.6108687059410977e-13
"1.28120401337792642147987296404233919714`16."	"1.3894691772359045037535145527096476750407424244`23.*^-11"	2.5936783324908293e-13
"1.28785953177257525091061488104194716753`16."	"1.50174819868934075461528436764521713915365677597`23.*^-11"	2.571669250701563e-13
"1.29451505016722408034135679804155513793`16."	"1.62222393176215015857991270086615225603909848109`23.*^-11"	2.5449100595734415e-13
"1.30117056856187290977209871504116310833`16."	"1.75146147992286316784848568050484117614050087109`23.*^-11"	2.5134957333319425e-13
"1.30782608695652173920284063204077107872`16."	"1.89001352281474269268058588178705875728217052739`23.*^-11"	2.4775473032697855e-13
"1.31448160535117056863358254904037904912`16."	"2.03847809813791436451689441392295144614515694273`23.*^-11"	2.437211305445232e-13
"1.32113712374581939806432446603998701952`16."	"2.19748583230786747337459762130638234755528561161`23.*^-11"	2.3926589937190027e-13
"1.32779264214046822749506638303959498991`16."	"2.36770044207993853701830600526804622583424559744`23.*^-11"	2.344085320356668e-13
"1.33444816053511705692580830003920296031`16."	"2.54982523806084756231307495462669316157850827583`23.*^-11"	2.2917076892526764e-13
"1.34110367892976588635655021703881093071`16."	"2.74460005634590740967187764096287058026278709679`23.*^-11"	2.2357644897099028e-13
"1.3477591973244147157872921340384189011`16."	"2.95279565864345991473849440166144246653354603722`23.*^-11"	2.176513421594014e-13
"1.3544147157190635452180340510380268715`16."	"3.17523621571832069866478611054720194004800752543`23.*^-11"	2.11422962553391e-13
"1.3610702341137123746487759680376348419`16."	"3.41278419856546623566169487547918208230128771277`23.*^-11"	2.049203634612987e-13
"1.3677257525083612040795178850372428123`16."	"3.66633899590933415996905960267126714926495474363`23.*^-11"	1.9817391666466336e-13
"1.37438127090301003351025980203685078269`16."	"3.93686893852278251945306827913831760695330305209`23.*^-11"	1.9121507786219393e-13
"1.38103678929765886294100171903645875309`16."	"4.22536308294298733437768484922269306555701052713`23.*^-11"	1.8407614071417e-13
"1.38769230769230769237174363603606672349`16."	"4.53287816238808837998126277322717707106496430136`23.*^-11"	1.7678998207204894e-13
"1.39434782608695652180248555303567469388`16."	"4.86050301917046703432583149586521680396954969105`24.*^-11"	1.6938980114840387e-13
"1.40100334448160535123322747003528266428`16."	"5.20941238797702494262120926796316019198839469772`24.*^-11"	1.6190885551833503e-13
"1.40765886287625418066396938703489063468`16."	"5.58080533755253858064218934888024032638797099583`24.*^-11"	1.5438019694165502e-13
"1.41431438127090301009471130403449860507`16."	"5.97597225192108452843157063914505563900772294709`24.*^-11"	1.468364100521953e-13
"1.42096989966555183952545322103410657547`16."	"6.39621842030580578894109467911619301447556372358`24.*^-11"	1.3930935697401474e-13
"1.42762541806020066895619513803371454587`16."	"6.84295719801612931104962515299119494640802437346`24.*^-11"	1.3182993089200532e-13
"1.43428093645484949838693705503332251626`16."	"7.31764970914196480504805634392662583512673644179`24.*^-11"	1.2442782152532185e-13
"1.44093645484949832781767897203293048666`16."	"7.82180388840314954842346632010086833900514657888`24.*^-11"	1.1713129532564128e-13
"1.44759197324414715724842088903253845706`16."	"8.35704173037080543736152304017387165313629819193`24.*^-11"	1.099669930489523e-13
"1.45424749163879598667916280603214642746`16."	"8.92499245975332896200812866599261963721014093884`24.*^-11"	1.0295974713076821e-13
