"alpha"	"CF_Gamma"	"Hydro_Gamma"
"0.5`16."	"""Failed"""	5.76902224180341e-23
"0.50702341137123740910652713864692486823`16."	"""Failed"""	7.810863827491264e-23
"0.51404682274247492923535673980950377882`16."	"""Failed"""	1.0522796516519605e-22
"0.52107023411371233834188387845642864704`16."	"""Failed"""	1.4107642008461463e-22
"0.52809364548494985847071347961900755763`16."	"""Failed"""	1.882445716890422e-22
"0.53511705685618726757724061826593242586`16."	"""Failed"""	2.5002689407967925e-22
"0.54214046822742478770607021942851133645`16."	"""Failed"""	3.3059527133098588e-22
"0.54916387959866219681259735807543620467`16."	"""Failed"""	4.352108025714092e-22
"0.55618729096989971694142695923801511526`16."	"""Failed"""	5.704813360249269e-22
"0.56321070234113712604795409788493998349`16."	"""Failed"""	7.4467338697141365e-22
"0.57023411371237453515448123653186485171`16."	"""Failed"""	9.68088483230259e-22
"0.5772575250836120552833108376944437623`16."	"""Failed"""	1.253515547001766e-21
"0.58428093645484946438983797634136863053`16."	"""Failed"""	1.6167726783689488e-21
"0.59130434782608698451866757750394754112`16."	"""Failed"""	2.077353668075197e-21
"0.59832775919732439362519471615087240934`16."	"""Failed"""	2.6591967496601392e-21
"0.60535117056856191375402431731345131993`16."	"""Failed"""	3.391595517377918e-21
"0.61237458193979932286055145596037618816`16."	"""Failed"""	4.3102745993370874e-21
"0.61939799331103673196707859460730105639`16."	"""Failed"""	5.45865559649305e-21
"0.62642140468227425209590819576987996697`16."	"""Failed"""	6.889341987278437e-21
"0.63344481605351177222473779693245887756`16."	"""Failed"""	8.665855162385626e-21
"0.64046822742474918133126493557938374579`16."	"""Failed"""	1.0864657499450908e-20
"0.64749163879598659043779207422630861402`16."	"""Failed"""	1.357750241483852e-20
"0.6545150501672241105666216753888875246`16."	"""Failed"""	1.6914155637293416e-20
"0.66153846153846151967314881403581239283`16."	"""Failed"""	2.1005536529413777e-20
"0.66856187290969903980197841519839130342`16."	"""Failed"""	2.6007333126124178e-20
"0.67558528428093644890850555384531617165`16."	"""Failed"""	3.2104149647318103e-20
"0.68260869565217396903733515500789508224`16."	"""Failed"""	3.95142505509152e-20
"0.68963210702341137814386229365481995046`16."	"""Failed"""	4.849497069197269e-20
"0.69665551839464878725038943230174481869`16."	"""Failed"""	5.934886680471597e-20
"0.70367892976588630737921903346432372928`16."	"""Failed"""	7.243069128046581e-20
"0.71070234113712382750804863462690263987`16."	"""Failed"""	8.815527501950683e-20
"0.71772575250836123661457577327382750809`16."	"""Failed"""	1.0700641192337e-19
"0.72474916387959864572110291192075237632`16."	"""Failed"""	1.2954684329006332e-19
