label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|211⟩	1.058229638112701e-38	0.01426456199809051	2.768544336494409e-12	977708382691373.9
|322⟩	3.891227297190874e-40	8.0027866382299	1.8282396790044708e-06	979277349334379.1
|433⟩	4.339220581518399e-44	142275767.7828656	41.96258896138739	979826487659430.9
|544⟩	5.184697993354803e-48	280973171920560.9	1735001705.410677	980080660255597.8
|533⟩	4.332093475179579e-59	0.5580596349186955	29.064461605640826	980080660255597.8
|644⟩	5.271187634156546e-62	11511736.818041801	1023104327.0441742	980218729320182.2
|422⟩	2.733568565487165e-63	3.4084123383260093e-08	1.4398544189032264e-06	979826487659430.9
|633⟩	2.3666657851144696e-69	0.6706104096788934	29.20025418256305	980218729320182.2
|311⟩	1.0352871586523754e-73	2.576885004154616e-12	2.397457708628962e-12	979277349334379.1
|522⟩	6.921813804212881e-76	5.379987586607625e-08	1.4460739207793527e-06	980080660255597.8
|622⟩	8.601556246433885e-83	6.759900616294075e-08	1.4460739207793527e-06	980218729320182.2
|411⟩	1.954565496119239e-84	2.6287690355126107e-12	2.3478163323377806e-12	979826487659430.9
|511⟩	1.1738591342479372e-88	2.702273206941327e-12	2.320635201203621e-12	980080660255597.8
|611⟩	1.1152164712474417e-90	2.185678819194972e-11	2.306724842170609e-12	980218729320182.2
|655⟩	2.8529629331661687e-103	34.62375522284375	0.0	980218729320182.2
