label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|533⟩→|433⟩	4.190972739965129e-40	1.7795657817179227e-09	9.476597373689514e-08	4437889834272.88
|644⟩→|544⟩	2.401835332361106e-40	3.41067416515118e-05	0.008753766043240052	2410705588987.738
|633⟩→|433⟩	9.638486843195153e-46	2.3261478190394027e-09	9.545636334348648e-08	6848595423260.617
|633⟩→|533⟩	2.342011812107112e-49	2.112404172500942e-09	9.437373260916762e-08	2410705588987.738
|311⟩→|211⟩	5.029537959974923e-84	1006.3549846656891	0.0	27394381693042.47
|422⟩→|322⟩	3.204653810229278e-84	1006.3549846656891	0.0	9588033592564.863
|411⟩→|211⟩	2.8456187886121146e-84	1006.3549846656891	0.0	36982415285607.336
|411⟩→|311⟩	2.7750128298614224e-84	1006.3549846656891	0.0	9588033592564.863
|522⟩→|422⟩	2.2253155147684767e-84	1006.3549846656891	0.0	4437889834272.88
|511⟩→|211⟩	1.925169865586283e-84	1006.3549846656891	0.0	41420305119880.2
|522⟩→|322⟩	1.841144534863698e-84	1006.3549846656891	0.0	14025923426837.74
|511⟩→|411⟩	1.7212873412950092e-84	1006.3549846656891	0.0	4437889834272.88
|511⟩→|311⟩	1.7185060917726205e-84	1006.3549846656891	0.0	14025923426837.74
|622⟩→|522⟩	1.5683901461431233e-84	1006.3549846656891	0.0	2410705588987.738
|611⟩→|211⟩	1.4229778565700223e-84	1006.3549846656891	7.529817330604064e-08	43831010708867.94
|622⟩→|422⟩	1.3909547923552526e-84	1006.3549846656891	0.0	6848595423260.617
|622⟩→|322⟩	1.2662156345533973e-84	1006.3549846656891	0.0	16436629015825.479
|611⟩→|311⟩	1.2258902985631924e-84	1006.3549846656891	0.0	16436629015825.479
|611⟩→|511⟩	1.1655322444409406e-84	1006.3549846656891	0.0	2410705588987.738
|611⟩→|411⟩	1.123880895530912e-84	1006.3549846656891	0.0	6848595423260.617
