label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|211⟩	2.781623035960765e-30	4.862367229437588e-07	4.314200424582196e-09	26532052305.725174
|322⟩	3.3760579417563768e-31	0.0057552485206547295	5.784300071657466e-07	26864398172.840195
|433⟩	2.5503834418170173e-34	3037.2217214754855	0.37586807362991326	26980719226.330452
|544⟩	1.7435442118487405e-37	32274113.656708084	422087.22262843384	27034559256.803085
|644⟩	1.1962468583712908e-46	2212.5440167760826	314717.7110070353	27063805693.109207
|533⟩	4.030334948203005e-48	0.004656382519291402	0.3061029189719093	27034559256.803085
|422⟩	2.1300347284742333e-57	1.1304390309456809e-08	4.517184046069308e-07	26980719226.330452
|633⟩	1.6520532122006976e-61	0.006985982457791917	0.30723482968769533	27063805693.109207
|311⟩	1.6425545248135715e-71	2.510295960982573e-10	4.049777782426443e-09	26864398172.840195
|522⟩	7.252964983273617e-73	1.5027702915251735e-08	4.527457751303444e-07	27034559256.803085
|622⟩	2.5430857875409565e-81	1.929721648160518e-08	4.527457751303444e-07	27063805693.109207
|411⟩	5.138841903450864e-84	4.755136205406789e-10	4.034517155785521e-09	26980719226.330452
|511⟩	6.2768441992092275e-89	8.290583303830453e-10	4.016075961455591e-09	27034559256.803085
|611⟩	2.8539680814014204e-91	9.587411796292645e-10	4.006192362187377e-09	27063805693.109207
|655⟩	1.1853661071491102e-101	4.6366211225499217e-07	3.2214078761890275e-10	27063805693.109207
