label	peak_strain	fwhm_yr	t_peak_yr	frequency_hz
|533⟩→|433⟩	1.4067473975785285e-36	0.005195768498144959	0.30723482968769533	26920015.23631658
|644⟩→|544⟩	4.156971087049757e-37	897.8231503677089	315312.53279165534	14623218.153060863
|422⟩→|322⟩	6.436053469062334e-40	1.1992737748107777e-08	4.555888073665551e-07	58160526.74512841
|633⟩→|433⟩	2.4920948802324195e-43	0.004738388334150745	0.309190184124001	41543233.38937744
|311⟩→|211⟩	4.629281969887329e-47	3.840906858484347e-10	4.085706224424003e-09	166172933.55750975
|633⟩→|533⟩	1.2889676636002166e-47	0.006053240262040405	0.3061029189719093	14623218.153060863
|522⟩→|322⟩	1.0434921706107007e-47	1.4322629879812268e-08	4.574352592735853e-07	85080541.98144498
|622⟩→|322⟩	6.140639971640076e-52	1.8112276417964377e-08	4.6034102072700716e-07	99703760.13450584
|411⟩→|211⟩	2.2958858458301317e-53	5.899205406638218e-10	4.098392273194358e-09	224333460.30263814
|511⟩→|211⟩	7.643827028363725e-56	1.2508187820291795e-09	4.111479388487935e-09	251253475.53895473
|611⟩→|211⟩	5.0113204850070717e-57	1.2508187820291795e-09	4.118373347625319e-09	265876693.6920156
|522⟩→|422⟩	2.863988353837289e-60	1.2230330848258105e-08	4.527457751303444e-07	26920015.23631658
|622⟩→|422⟩	1.3483221053897223e-64	1.3171287161731797e-08	4.527457751303444e-07	41543233.38937744
|622⟩→|522⟩	3.6874866281920135e-72	1.6992508055199907e-08	4.527457751303444e-07	14623218.153060863
|411⟩→|311⟩	1.0176163207911795e-73	3.204546696209457e-10	4.049777782426443e-09	58160526.74512841
|511⟩→|311⟩	3.060557901650902e-76	3.43020847091074e-10	4.049777782426443e-09	85080541.98144498
|611⟩→|311⟩	1.9209371245523694e-77	3.968362102269419e-10	4.049777782426443e-09	99703760.13450584
|511⟩→|411⟩	2.632346674843277e-82	6.06131128699781e-10	4.049777782426443e-09	26920015.23631658
|611⟩→|411⟩	1.5122176293235553e-83	6.06131128699781e-10	4.049777782426443e-09	41543233.38937744
|611⟩→|511⟩	7.623164600424564e-86	8.820706474876451e-10	4.042147469105982e-09	14623218.153060863
